source,sra_run_id,organism_name,avg_gc
HIVE,SRR9172017,Salmonella enterica,50.316
NCBI,SRR9172018,Salmonella enterica,52.190
HIVE,SRR9172018,Salmonella enterica,52.195
NCBI,SRR9172070,Salmonella enterica,52.270
HIVE,SRR9172070,Salmonella enterica,52.270
NCBI,SRR9172071,Salmonella enterica,50.750
HIVE,SRR9172071,Salmonella enterica,49.971
NCBI,SRR9172072,Salmonella enterica,50.560
HIVE,SRR9172072,Salmonella enterica,50.172
NCBI,SRR9172095,Salmonella enterica,51.000
HIVE,SRR9172095,Salmonella enterica,51.450
NCBI,SRR9172096,Salmonella enterica,50.930
HIVE,SRR9172096,Salmonella enterica,46.649
NCBI,SRR9172097,Salmonella enterica,52.800
HIVE,SRR9172097,Salmonella enterica,52.805
NCBI,SRR9172099,Salmonella enterica,50.470
HIVE,SRR9172099,Salmonella enterica,50.741
NCBI,SRR9172100,Salmonella enterica,52.150
HIVE,SRR9172100,Salmonella enterica,52.150
NCBI,SRR9172121,Salmonella enterica,50.900
HIVE,SRR9172121,Salmonella enterica,50.675
NCBI,SRR9172122,Salmonella enterica,52.300
HIVE,SRR9172122,Salmonella enterica,52.305
NCBI,SRR9172266,Salmonella enterica,51.710
HIVE,SRR9172266,Salmonella enterica,51.715
NCBI,SRR9172267,Salmonella enterica,49.950
HIVE,SRR9172267,Salmonella enterica,50.744
NCBI,SRR9172268,Salmonella enterica,51.790
HIVE,SRR9172268,Salmonella enterica,51.790
NCBI,SRR9172269,Salmonella enterica,50.970
HIVE,SRR9172269,Salmonella enterica,50.903
NCBI,SRR9641498,Salmonella enterica,50.350
HIVE,SRR9641498,Salmonella enterica,48.484
NCBI,SRR9641499,Salmonella enterica,51.070
HIVE,SRR9641499,Salmonella enterica,51.075
NCBI,SRR9641504,Salmonella enterica,51.340
HIVE,SRR9641504,Salmonella enterica,50.483
NCBI,SRR9641505,Salmonella enterica,51.730
HIVE,SRR9641505,Salmonella enterica,51.735
NCBI,SRR5417087,Salmonella enterica subsp. enterica serovar Bredeney,51.180
HIVE,SRR5417087,Salmonella enterica subsp. enterica serovar Bredeney,51.158
NCBI,SRR5417088,Salmonella enterica subsp. enterica serovar Bredeney,50.750
HIVE,SRR5417088,Salmonella enterica subsp. enterica serovar Bredeney,50.770
NCBI,SRR5417083,Salmonella enterica subsp. enterica serovar Hadar,51.060
HIVE,SRR5417083,Salmonella enterica subsp. enterica serovar Hadar,51.070
NCBI,SRR5417084,Salmonella enterica subsp. enterica serovar Hadar,51.250
HIVE,SRR5417084,Salmonella enterica subsp. enterica serovar Hadar,51.574
NCBI,SRR1950244,Salmonella enterica subsp. enterica serovar Heidelberg,53.080
HIVE,SRR1950244,Salmonella enterica subsp. enterica serovar Heidelberg,51.147
NCBI,SRR1950245,Salmonella enterica subsp. enterica serovar Heidelberg,52.960
HIVE,SRR1950245,Salmonella enterica subsp. enterica serovar Heidelberg,46.124
NCBI,SRR1950246,Salmonella enterica subsp. enterica serovar Heidelberg,50.920
HIVE,SRR1950246,Salmonella enterica subsp. enterica serovar Heidelberg,50.930
NCBI,SRR1950247,Salmonella enterica subsp. enterica serovar Heidelberg,50.790
HIVE,SRR1950247,Salmonella enterica subsp. enterica serovar Heidelberg,50.800
NCBI,SRR5409216,Salmonella enterica subsp. enterica serovar Heidelberg,50.910
HIVE,SRR5409216,Salmonella enterica subsp. enterica serovar Heidelberg,50.920
NCBI,SRR5409217,Salmonella enterica subsp. enterica serovar Heidelberg,51.460
HIVE,SRR5409217,Salmonella enterica subsp. enterica serovar Heidelberg,52.158
NCBI,SRR5417089,Salmonella enterica subsp. enterica serovar Infantis,51.500
HIVE,SRR5417089,Salmonella enterica subsp. enterica serovar Infantis,51.505
NCBI,SRR5417090,Salmonella enterica subsp. enterica serovar Infantis,51.850
HIVE,SRR5417090,Salmonella enterica subsp. enterica serovar Infantis,46.763
NCBI,SRR5417091,Salmonella enterica subsp. enterica serovar Ohio,51.630
HIVE,SRR5417091,Salmonella enterica subsp. enterica serovar Ohio,51.670
NCBI,SRR5417092,Salmonella enterica subsp. enterica serovar Ohio,51.190
HIVE,SRR5417092,Salmonella enterica subsp. enterica serovar Ohio,51.205
NCBI,SRR5866640,Salmonella enterica subsp. enterica serovar Paratyphi A,51.810
HIVE,SRR5866640,Salmonella enterica subsp. enterica serovar Paratyphi A,51.815
NCBI,SRR5866641,Salmonella enterica subsp. enterica serovar Paratyphi A,51.580
HIVE,SRR5866641,Salmonella enterica subsp. enterica serovar Paratyphi A,51.248
NCBI,SRR5866642,Salmonella enterica subsp. enterica serovar Paratyphi A,52.310
HIVE,SRR5866642,Salmonella enterica subsp. enterica serovar Paratyphi A,52.072
NCBI,SRR5868515,Salmonella enterica subsp. enterica serovar Saintpaul,51.770
HIVE,SRR5868515,Salmonella enterica subsp. enterica serovar Saintpaul,51.775
NCBI,SRR5868516,Salmonella enterica subsp. enterica serovar Saintpaul,51.150
HIVE,SRR5868516,Salmonella enterica subsp. enterica serovar Saintpaul,51.263
NCBI,SRR5409210,Salmonella enterica subsp. enterica serovar Typhimurium,51.790
HIVE,SRR5409210,Salmonella enterica subsp. enterica serovar Typhimurium,51.443
NCBI,SRR5409211,Salmonella enterica subsp. enterica serovar Typhimurium,51.300
HIVE,SRR5409211,Salmonella enterica subsp. enterica serovar Typhimurium,51.320
NCBI,SRR5417093,Salmonella enterica subsp. enterica serovar Typhimurium,51.400
HIVE,SRR5417093,Salmonella enterica subsp. enterica serovar Typhimurium,51.415
NCBI,SRR5417094,Salmonella enterica subsp. enterica serovar Typhimurium,51.820
HIVE,SRR5417094,Salmonella enterica subsp. enterica serovar Typhimurium,52.252
NCBI,SRR5417096,Salmonella enterica subsp. enterica serovar Typhimurium,51.210
HIVE,SRR5417096,Salmonella enterica subsp. enterica serovar Typhimurium,51.225
NCBI,SRR5417097,Salmonella enterica subsp. enterica serovar Typhimurium,51.860
HIVE,SRR5417097,Salmonella enterica subsp. enterica serovar Typhimurium,52.328
NCBI,SRR5409208,Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,51.350
HIVE,SRR5409208,Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,51.360
NCBI,SRR5409209,Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,51.530
HIVE,SRR5409209,Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,50.977
NCBI,SRR5417085,Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,50.930
HIVE,SRR5417085,Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,50.940
NCBI,SRR5417086,Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,51.410
HIVE,SRR5417086,Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,51.300
NCBI,SRR1950250,Salmonella enterica subsp. houtenae,50.340
HIVE,SRR1950250,Salmonella enterica subsp. houtenae,50.350
NCBI,SRR1950251,Salmonella enterica subsp. houtenae,50.180
HIVE,SRR1950251,Salmonella enterica subsp. houtenae,50.190
NCBI,SRR1950252,Salmonella enterica subsp. houtenae,52.310
HIVE,SRR1950252,Salmonella enterica subsp. houtenae,51.323
NCBI,SRR1950253,Salmonella enterica subsp. houtenae,52.650
HIVE,SRR1950253,Salmonella enterica subsp. houtenae,52.915
NCBI,SRR11393704,Severe acute respiratory syndrome coronavirus 2,42.130
HIVE,SRR11393704,Severe acute respiratory syndrome coronavirus 2,42.130
NCBI,SRR11409417,Severe acute respiratory syndrome coronavirus 2,42.200
HIVE,SRR11409417,Severe acute respiratory syndrome coronavirus 2,42.225
NCBI,SRR17429276,Sudan ebolavirus,41.910
HIVE,SRR17429276,Sudan ebolavirus,41.910
NCBI,SRR17429277,Sudan ebolavirus,33.850
HIVE,SRR17429277,Sudan ebolavirus,33.815
NCBI,SRR17429278,Sudan ebolavirus,41.600
HIVE,SRR17429278,Sudan ebolavirus,41.600
NCBI,SRR7167615,Sudan ebolavirus,41.690
HIVE,SRR7167615,Sudan ebolavirus,41.750
NCBI,SRR7167616,Sudan ebolavirus,41.300
HIVE,SRR7167616,Sudan ebolavirus,41.300
NCBI,SRR7167617,Sudan ebolavirus,41.690
HIVE,SRR7167617,Sudan ebolavirus,41.700
NCBI,SRR7167618,Sudan ebolavirus,41.180
HIVE,SRR7167618,Sudan ebolavirus,41.185
NCBI,SRR7167622,Sudan ebolavirus,45.210
HIVE,SRR7167622,Sudan ebolavirus,45.210
NCBI,SRR7167623,Sudan ebolavirus,42.660
HIVE,SRR7167623,Sudan ebolavirus,42.665
NCBI,SRR7167624,Sudan ebolavirus,41.860
HIVE,SRR7167624,Sudan ebolavirus,41.840
NCBI,SRR12933523,Yersinia enterocolitica,46.010
HIVE,SRR12933523,Yersinia enterocolitica,46.551
NCBI,SRR12933524,Yersinia enterocolitica,46.630
HIVE,SRR12933524,Yersinia enterocolitica,46.630
NCBI,SRR12934926,Yersinia enterocolitica,46.520
HIVE,SRR12934926,Yersinia enterocolitica,46.525
NCBI,SRR12934927,Yersinia enterocolitica,46.840
HIVE,SRR12934927,Yersinia enterocolitica,****
NCBI,SRR4272708,Yersinia enterocolitica,46.960
HIVE,SRR4272708,Yersinia enterocolitica,44.836
NCBI,SRR4272709,Yersinia enterocolitica,46.650
HIVE,SRR4272709,Yersinia enterocolitica,46.655
NCBI,SRR4273026,Yersinia enterocolitica,46.740
HIVE,SRR4273026,Yersinia enterocolitica,42.772
NCBI,SRR4273027,Yersinia enterocolitica,46.750
HIVE,SRR4273027,Yersinia enterocolitica,46.755
NCBI,SRR4273028,Yersinia enterocolitica,46.820
HIVE,SRR4273028,Yersinia enterocolitica,46.895
NCBI,SRR4273029,Yersinia enterocolitica,46.660
HIVE,SRR4273029,Yersinia enterocolitica,46.670
NCBI,SRR4273030,Yersinia enterocolitica,47.440
HIVE,SRR4273030,Yersinia enterocolitica,46.492
NCBI,SRR4273056,Yersinia enterocolitica,46.680
HIVE,SRR4273056,Yersinia enterocolitica,46.685
NCBI,SRR4273058,Yersinia enterocolitica,47.530
HIVE,SRR4273058,Yersinia enterocolitica,47.620
NCBI,SRR5440738,Yersinia enterocolitica,46.700
HIVE,SRR5440738,Yersinia enterocolitica,47.268
NCBI,SRR5440739,Yersinia enterocolitica,46.580
HIVE,SRR5440739,Yersinia enterocolitica,46.615
NCBI,SRR5879183,Yersinia frederiksenii,48.090
HIVE,SRR5879183,Yersinia frederiksenii,47.907
NCBI,SRR5879184,Yersinia frederiksenii,47.040
HIVE,SRR5879184,Yersinia frederiksenii,47.050
NCBI,SRR5879185,Yersinia frederiksenii,46.260
HIVE,SRR5879185,Yersinia frederiksenii,46.270
NCBI,SRR5879186,Yersinia frederiksenii,46.870
HIVE,SRR5879186,Yersinia frederiksenii,47.298
NCBI,SRR5409218,Yersinia intermedia,47.540
HIVE,SRR5409218,Yersinia intermedia,46.007
NCBI,SRR5409219,Yersinia intermedia,46.980
HIVE,SRR5409219,Yersinia intermedia,47.020
NCBI,SRR9174982,Yersinia intermedia,46.920
HIVE,SRR9174982,Yersinia intermedia,46.930
NCBI,SRR9174983,Yersinia intermedia,43.980
HIVE,SRR9174983,Yersinia intermedia,46.454
NCBI,SRR9174984,Yersinia intermedia,46.630
HIVE,SRR9174984,Yersinia intermedia,46.865
NCBI,SRR9174985,Yersinia intermedia,46.780
HIVE,SRR9174985,Yersinia intermedia,46.790
NCBI,SRR9174986,Yersinia intermedia,45.600
HIVE,SRR9174986,Yersinia intermedia,40.291
NCBI,SRR9174987,Yersinia intermedia,46.060
HIVE,SRR9174987,Yersinia intermedia,45.577
NCBI,SRR5878926,Yersinia kristensenii,46.640
HIVE,SRR5878926,Yersinia kristensenii,46.650
NCBI,SRR5878927,Yersinia kristensenii,46.890
HIVE,SRR5878927,Yersinia kristensenii,49.507
NCBI,SRR8072959,Yersinia pestis,46.380
HIVE,SRR8072959,Yersinia pestis,45.985
NCBI,SRR8072960,Yersinia pestis,47.180
HIVE,SRR8072960,Yersinia pestis,47.190
NCBI,SRR8072961,Yersinia pestis,47.140
HIVE,SRR8072961,Yersinia pestis,47.155
NCBI,SRR8072962,Yersinia pestis,46.470
HIVE,SRR8072962,Yersinia pestis,47.015
NCBI,SRR8283297,Yersinia pestis,46.330
HIVE,SRR8283297,Yersinia pestis,46.969
NCBI,SRR8283298,Yersinia pestis,47.080
HIVE,SRR8283298,Yersinia pestis,47.095
NCBI,SRR8283300,Yersinia pestis,46.260
HIVE,SRR8283300,Yersinia pestis,46.676
NCBI,SRR8283301,Yersinia pestis,47.130
HIVE,SRR8283301,Yersinia pestis,47.145
NCBI,SRR8283302,Yersinia pestis,47.870
HIVE,SRR8283302,Yersinia pestis,48.066
NCBI,SRR12825850,Yersinia pseudotuberculosis,46.730
HIVE,SRR12825850,Yersinia pseudotuberculosis,46.730
NCBI,SRR12825851,Yersinia pseudotuberculosis,47.190
HIVE,SRR12825851,Yersinia pseudotuberculosis,****
NCBI,SRR5409206,Yersinia pseudotuberculosis,46.710
HIVE,SRR5409206,Yersinia pseudotuberculosis,46.715
NCBI,SRR5409207,Yersinia pseudotuberculosis,46.170
HIVE,SRR5409207,Yersinia pseudotuberculosis,46.290
NCBI,SRR5878928,Yersinia pseudotuberculosis,47.020
HIVE,SRR5878928,Yersinia pseudotuberculosis,46.079
NCBI,SRR5878929,Yersinia pseudotuberculosis,46.620
HIVE,SRR5878929,Yersinia pseudotuberculosis,46.630
NCBI,SRR8072911,Yersinia pseudotuberculosis,47.330
HIVE,SRR8072911,Yersinia pseudotuberculosis,47.340
NCBI,SRR8072912,Yersinia pseudotuberculosis,47.360
HIVE,SRR8072912,Yersinia pseudotuberculosis,47.360
NCBI,SRR8072913,Yersinia pseudotuberculosis,47.220
HIVE,SRR8072913,Yersinia pseudotuberculosis,47.657
NCBI,SRR8072914,Yersinia pseudotuberculosis,47.440
HIVE,SRR8072914,Yersinia pseudotuberculosis,47.450
NCBI,SRR8072915,Yersinia pseudotuberculosis,47.520
HIVE,SRR8072915,Yersinia pseudotuberculosis,47.525
NCBI,SRR8072916,Yersinia pseudotuberculosis,46.200
HIVE,SRR8072916,Yersinia pseudotuberculosis,46.948
NCBI,SRR8072917,Yersinia pseudotuberculosis,46.340
HIVE,SRR8072917,Yersinia pseudotuberculosis,46.778
NCBI,SRR8072918,Yersinia pseudotuberculosis,47.300
HIVE,SRR8072918,Yersinia pseudotuberculosis,47.310
NCBI,SRR8072919,Yersinia pseudotuberculosis,47.320
HIVE,SRR8072919,Yersinia pseudotuberculosis,47.320
NCBI,SRR8072920,Yersinia pseudotuberculosis,47.270
HIVE,SRR8072920,Yersinia pseudotuberculosis,47.275
NCBI,SRR8072921,Yersinia pseudotuberculosis,47.310
HIVE,SRR8072921,Yersinia pseudotuberculosis,47.305
NCBI,SRR8072922,Yersinia pseudotuberculosis,46.250
HIVE,SRR8072922,Yersinia pseudotuberculosis,46.600
NCBI,SRR8072923,Yersinia pseudotuberculosis,46.690
HIVE,SRR8072923,Yersinia pseudotuberculosis,45.795
NCBI,SRR8072924,Yersinia pseudotuberculosis,47.410
HIVE,SRR8072924,Yersinia pseudotuberculosis,47.420
NCBI,SRR8072925,Yersinia pseudotuberculosis,47.420
HIVE,SRR8072925,Yersinia pseudotuberculosis,47.425
NCBI,SRR8283089,Yersinia pseudotuberculosis,46.360
HIVE,SRR8283089,Yersinia pseudotuberculosis,47.377
NCBI,SRR8283090,Yersinia pseudotuberculosis,47.380
HIVE,SRR8283090,Yersinia pseudotuberculosis,47.390
NCBI,SRR8283091,Yersinia pseudotuberculosis,47.410
HIVE,SRR8283091,Yersinia pseudotuberculosis,47.415
NCBI,SRR8984878,Yersinia pseudotuberculosis,45.970
HIVE,SRR8984878,Yersinia pseudotuberculosis,44.387
NCBI,SRR8984879,Yersinia pseudotuberculosis,47.290
HIVE,SRR8984879,Yersinia pseudotuberculosis,47.295
NCBI,SRR4273061,Yersinia sp. FDAARGOS_228,46.760
HIVE,SRR4273061,Yersinia sp. FDAARGOS_228,46.765
NCBI,SRR4273062,Yersinia sp. FDAARGOS_228,46.960
HIVE,SRR4273062,Yersinia sp. FDAARGOS_228,46.074
